,region,category,parameter,mode,powertrain,year,unit,value
258,France,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3300
259,France,Historical,EV charging points,EV,Publicly available slow,2020,charging points,31000
260,France,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4500
261,France,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000
266,Germany,Historical,EV charging points,EV,Publicly available fast,2012,charging points,18
267,Germany,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1500
268,Germany,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
269,Germany,Historical,EV charging points,EV,Publicly available slow,2013,charging points,2400
270,Germany,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
271,Germany,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2600
272,Germany,Historical,EV charging points,EV,Publicly available fast,2015,charging points,470
273,Germany,Historical,EV charging points,EV,Publicly available slow,2015,charging points,4600
274,Germany,Historical,EV charging points,EV,Publicly available fast,2016,charging points,630
275,Germany,Historical,EV charging points,EV,Publicly available slow,2016,charging points,5800
276,Germany,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1400
277,Germany,Historical,EV charging points,EV,Publicly available slow,2017,charging points,9400
278,Germany,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2500
279,Germany,Historical,EV charging points,EV,Publicly available slow,2018,charging points,17000
280,Germany,Historical,EV charging points,EV,Publicly available fast,2019,charging points,3900
281,Germany,Historical,EV charging points,EV,Publicly available slow,2019,charging points,26000
282,Germany,Historical,EV charging points,EV,Publicly available fast,2020,charging points,6200
283,Germany,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000
284,Germany,Historical,EV charging points,EV,Publicly available fast,2021,charging points,9300
285,Germany,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000
290,Greece,Historical,EV charging points,EV,Publicly available slow,2013,charging points,10
291,Greece,Historical,EV charging points,EV,Publicly available fast,2014,charging points,2
292,Greece,Historical,EV charging points,EV,Publicly available slow,2014,charging points,14
293,Greece,Historical,EV charging points,EV,Publicly available fast,2015,charging points,2
294,Greece,Historical,EV charging points,EV,Publicly available slow,2015,charging points,14
295,Greece,Historical,EV charging points,EV,Publicly available fast,2016,charging points,2
296,Greece,Historical,EV charging points,EV,Publicly available slow,2016,charging points,15
297,Greece,Historical,EV charging points,EV,Publicly available fast,2017,charging points,2
298,Greece,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22
299,Greece,Historical,EV charging points,EV,Publicly available fast,2018,charging points,10
300,Greece,Historical,EV charging points,EV,Publicly available slow,2018,charging points,31
301,Greece,Historical,EV charging points,EV,Publicly available fast,2019,charging points,10
302,Greece,Historical,EV charging points,EV,Publicly available slow,2019,charging points,63
303,Greece,Historical,EV charging points,EV,Publicly available fast,2020,charging points,14
304,Greece,Historical,EV charging points,EV,Publicly available slow,2020,charging points,220
305,Greece,Historical,EV charging points,EV,Publicly available fast,2021,charging points,100
306,Greece,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1200
311,Iceland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,6
312,Iceland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,11
313,Iceland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,11
314,Iceland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,40
315,Iceland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11
316,Iceland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,36
317,Iceland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,32
318,Iceland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,55
